"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C9","1uF","~","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","2",""
"C2,C10,C11","100nF","~","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","3",""
"C3","22uF","~","Capacitor_Tantalum_SMD:CP_EIA-3528-21_Kemet-B_Pad1.50x2.35mm_HandSolder","1",""
"C4,C6,C8","10uF","~","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","3",""
"C5,C7","4.7uF","~","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","2",""
"J1","remote_header","~","Connector_JST:JST_XH_B8B-XH-AM_1x08_P2.50mm_Vertical","1",""
"J3","SOIL_SENSOR","~","Connector_JST:JST_XH_B3B-XH-AM_1x03_P2.50mm_Vertical","1",""
"J4","ANT","~","Connector_Coaxial:U.FL_Molex_MCRF_73412-0110_Vertical","1",""
"J5,J6","Conn_01x10_Pin","~","Connector_PinHeader_2.54mm:PinHeader_1x10_P2.54mm_Vertical","2",""
"J7","Battery","~","Connector_JST:JST_XH_B2B-XH-AM_1x02_P2.50mm_Vertical","1",""
"R1,R2,R3","10K","~","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","3",""
"R4","100k","~","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","1",""
"R5,R6","2.2K","~","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","2",""
"RESET1","RESET","~","Button_Switch_THT:SW_PUSH_6mm_H5mm","1",""
"SW2","ESP Program","~","Button_Switch_THT:SW_PUSH_6mm_H5mm","1",""
"SW3","WEB_CONF","~","Button_Switch_THT:SW_PUSH_6mm_H5mm","1",""
"U1","ESP32-WROOM-32D","https://www.espressif.com/sites/default/files/documentation/esp32-wroom-32d_esp32-wroom-32u_datasheet_en.pdf","RF_Module:ESP32-WROOM-32","1",""
"U2,U3","XC6220B331MR","https://www.torexsemi.com/file/xc6220/XC6220.pdf","Package_TO_SOT_SMD:SOT-23-5","2",""
"U4","TPS3839DBZ","http://www.ti.com/lit/ds/sbvs193d/sbvs193d.pdf","Package_TO_SOT_SMD:SOT-23","1",""
"U5","RFM95W-915S2","https://www.hoperf.com/data/upload/portal/20181127/5bfcbea20e9ef.pdf","RF_Module:HOPERF_RFM9XW_SMD","1",""
"U6","MAX17048G_T10","","MAX17048G+T10:SON50P200X200X80-9N","1",""
